group                     , ID                             , data  , S   , X  , Y  , Icon, LBL, vani, hidden, order, en                             , ru
virtual-signal-number     , signal-0                       , 0     , 2.95,    , -56,     ,    , Y   ,       ,      ,                                , 
virtual-signal-number     , signal-1                       , 1     , 2.95,    , -56,     ,    , Y   ,       ,      ,                                , 
virtual-signal-number     , signal-2                       , 2     , 2.95,    , -56,     ,    , Y   ,       ,      ,                                , 
virtual-signal-number     , signal-3                       , 3     , 2.95,    , -56,     ,    , Y   ,       ,      ,                                , 
virtual-signal-number     , signal-4                       , 4     , 2.95,    , -56,     ,    , Y   ,       ,      ,                                , 
virtual-signal-number     , signal-5                       , 5     , 2.95,    , -56,     ,    , Y   ,       ,      ,                                , 
virtual-signal-number     , signal-6                       , 6     , 2.95,    , -56,     ,    , Y   ,       ,      ,                                , 
virtual-signal-number     , signal-7                       , 7     , 2.95,    , -56,     ,    , Y   ,       ,      ,                                , 
virtual-signal-number     , signal-8                       , 8     , 2.95,    , -56,     ,    , Y   ,       ,      ,                                , 
virtual-signal-number     , signal-9                       , 9     , 2.95,    , -56,     ,    , Y   ,       ,      ,                                , 
virtual-signal-number     , signal-10                      , 10    , 1.75, -25, -30,     ,    ,     ,       ,      , Signal 10                      , Сигнал 10
virtual-signal-number     , signal-11                      , 11    , 1.75, -25, -30,     ,    ,     ,       ,      , Signal 11                      , Сигнал 11
virtual-signal-number     , signal-12                      , 12    , 1.75, -25, -30,     ,    ,     ,       ,      , Signal 12                      , Сигнал 12
virtual-signal-number     , signal-13                      , 13    , 1.75, -25, -30,     ,    ,     ,       ,      , Signal 13                      , Сигнал 13
virtual-signal-number     , signal-14                      , 14    , 1.75, -25, -30,     ,    ,     ,       ,      , Signal 14                      , Сигнал 14
virtual-signal-number     , signal-15                      , 15    , 1.75, -25, -30,     ,    ,     ,       ,      , Signal 15                      , Сигнал 15
virtual-signal-number     , signal-16                      , 16    , 1.75, -25, -30,     ,    ,     ,       ,      , Signal 16                      , Сигнал 16
virtual-signal-number     , signal-17                      , 17    , 1.75, -25, -30,     ,    ,     ,       ,      , Signal 17                      , Сигнал 17
virtual-signal-number     , signal-18                      , 18    , 1.75, -25, -30,     ,    ,     ,       ,      , Signal 18                      , Сигнал 18
virtual-signal-number     , signal-19                      , 19    , 1.75, -25, -30,     ,    ,     ,       ,      , Signal 19                      , Сигнал 19
virtual-signal-number     , signal-20                      , 20    , 1.75,    , -30,     ,    ,     ,       ,      , Signal 20                      , Сигнал 20
virtual-signal-number     , signal-24                      , 24    , 1.75,    , -30,     ,    ,     ,       ,      , Signal 24                      , Сигнал 24
virtual-signal-number     , signal-25                      , 25    , 1.75,    , -30,     ,    ,     ,       ,      , Signal 25                      , Сигнал 25
virtual-signal-number     , signal-28                      , 28    , 1.75,    , -30,     ,    ,     ,       ,      , Signal 28                      , Сигнал 28
virtual-signal-number     , signal-30                      , 30    , 1.75,    , -30,     ,    ,     ,       ,      , Signal 30                      , Сигнал 30
virtual-signal-number     , signal-32                      , 32    , 1.75,    , -30,     ,    ,     ,       ,      , Signal 32                      , Сигнал 32
