name                             , subgroup                  , order                                      , type                               , icon
signal-everything                , virtual-signal-special    , a[special]-[1everything]                   , virtual-signal                     , __base__/graphics/icons/signal/signal_everything.png
signal-anything                  , virtual-signal-special    , a[special]-[3anything]                     , virtual-signal                     , __base__/graphics/icons/signal/signal_anything.png
signal-each                      , virtual-signal-special    , a[special]-[2each]                         , virtual-signal                     , __base__/graphics/icons/signal/signal_each.png
signal-red                       , virtual-signal-color      , d[colors]-[1red]                           , virtual-signal                     , __base__/graphics/icons/signal/signal_red.png
signal-green                     , virtual-signal-color      , d[colors]-[2green]                         , virtual-signal                     , __base__/graphics/icons/signal/signal_green.png
signal-blue                      , virtual-signal-color      , d[colors]-[3blue]                          , virtual-signal                     , __base__/graphics/icons/signal/signal_blue.png
signal-cyan                      , virtual-signal-color      , d[colors]-[4cyan]                          , virtual-signal                     , __base__/graphics/icons/signal/signal_cyan.png
signal-pink                      , virtual-signal-color      , d[colors]-[5pink]                          , virtual-signal                     , __base__/graphics/icons/signal/signal_pink.png
signal-yellow                    , virtual-signal-color      , d[colors]-[6yellow]                        , virtual-signal                     , __base__/graphics/icons/signal/signal_yellow.png
signal-white                     , virtual-signal-color      , d[colors]-[7white]                         , virtual-signal                     , __base__/graphics/icons/signal/signal_white.png
signal-grey                      , virtual-signal-color      , d[colors]-[8grey]                          , virtual-signal                     , __base__/graphics/icons/signal/signal_grey.png
signal-black                     , virtual-signal-color      , d[colors]-[9black]                         , virtual-signal                     , __base__/graphics/icons/signal/signal_black.png
signal-check                     , virtual-signal            , a[checked]                                 , virtual-signal                     , __base__/graphics/icons/signal/signal-checked-green.png
signal-deny                      , virtual-signal            , b[deny]                                    , virtual-signal                     , __base__/graphics/icons/signal/signal-deny.png
signal-no-entry                  , virtual-signal            , c[no-entry]                                , virtual-signal                     , __base__/graphics/icons/signal/signal-no-entry.png
signal-heart                     , virtual-signal            , d[heart]                                   , virtual-signal                     , __base__/graphics/icons/signal/signal-heart.png
signal-alert                     , virtual-signal            , e[alert]                                   , virtual-signal                     , __base__/graphics/icons/signal/signal-alert.png
signal-star                      , virtual-signal            , f[star]                                    , virtual-signal                     , __base__/graphics/icons/signal/signal-star.png
signal-info                      , virtual-signal            , i[info]                                    , virtual-signal                     , __base__/graphics/icons/info.png
signal-dot                       , shapes                    , m[dot]                                     , virtual-signal                     , __base__/graphics/icons/list-dot.png
signal-1                         , virtual-signal-number     , b[numbers]-[1]                             , virtual-signal                     , __base__/graphics/icons/signal/signal_1.png
signal-2                         , virtual-signal-number     , b[numbers]-[2]                             , virtual-signal                     , __base__/graphics/icons/signal/signal_2.png
signal-3                         , virtual-signal-number     , b[numbers]-[3]                             , virtual-signal                     , __base__/graphics/icons/signal/signal_3.png
signal-4                         , virtual-signal-number     , b[numbers]-[4]                             , virtual-signal                     , __base__/graphics/icons/signal/signal_4.png
signal-5                         , virtual-signal-number     , b[numbers]-[5]                             , virtual-signal                     , __base__/graphics/icons/signal/signal_5.png
signal-6                         , virtual-signal-number     , b[numbers]-[6]                             , virtual-signal                     , __base__/graphics/icons/signal/signal_6.png
signal-7                         , virtual-signal-number     , b[numbers]-[7]                             , virtual-signal                     , __base__/graphics/icons/signal/signal_7.png
signal-8                         , virtual-signal-number     , b[numbers]-[8]                             , virtual-signal                     , __base__/graphics/icons/signal/signal_8.png
signal-9                         , virtual-signal-number     , b[numbers]-[9]                             , virtual-signal                     , __base__/graphics/icons/signal/signal_9.png
signal-0                         , virtual-signal-number     , b[numbers]-[0]                             , virtual-signal                     , __base__/graphics/icons/signal/signal_0.png
